id	file_name	file_size	md5sum	experimental_strategy	case_submitter_id	aliquot_submitter_id	file_type
63644c03-3858-4aee-957c-2661ac6ec249	a8fa5b06-05f8-4688-9d06-224a4ffebaf0.FPKM-UQ.txt.gz	441363	6b7e283e32cd64df430f401ae6ef7555	RNA-Seq	C3L-01045	CPT0123530006	FPKM-UQ
63d87b60-ab86-4972-b808-660b37a2d25b	e19106fc-53f6-4c32-a175-e13023ce33b7.FPKM-UQ.txt.gz	461607	f29c99d247bdc5fa3f246afc80a820e9	RNA-Seq	C3L-02041	CPT0125510006	FPKM-UQ
695c3b5e-f294-4340-8e1f-b2b6c399f74e	4366217b-caf9-427e-89d3-94265064914e.FPKM.txt.gz	345097	4f9c580e90b18d8f4d10efcf9a44a06a	RNA-Seq	C3L-00674	CPT0064650006	FPKM
6dad8e60-8130-41a4-8fea-cee64a2c646c	d4187670-64bc-48c5-9be9-3780bc7cd89e.rna_seq.star_gene_counts.tsv.gz	433135	bb39256db3fedb31459789877f4ea709	RNA-Seq	C3L-00674	CPT0064650006	rna_seq.star_gene_counts
6e08d7e2-91a4-41a8-8e02-bde7af95f9da	04084199-cebe-46a5-95d3-6be7761ad757.FPKM-UQ.txt.gz	449372	7518f47540571a56028acc740706e98a	RNA-Seq	C3L-00591	CPT0017810010	FPKM-UQ
710bdf67-13fb-4775-8a88-d47f077a5935	c2ec45fc-3620-47a3-8ddb-f3db320ba09f.rna_seq.star_gene_counts.tsv.gz	422416	f771f893af188cbd0ae18559f78051a6	RNA-Seq	C3N-02183	CPT0168480009	rna_seq.star_gene_counts
7dd3ed86-fbd5-4008-b65c-f124e53349bb	4366217b-caf9-427e-89d3-94265064914e.FPKM-UQ.txt.gz	453415	24a2ad21972992d0cd85bd5ee5a8856a	RNA-Seq	C3L-00674	CPT0064650006	FPKM-UQ
8757abe2-9b5f-4567-9507-8637937106a7	e3c8b7f8-a857-4492-b354-a4877a5317dd.FPKM.txt.gz	339393	24bd1f87b032f0cefcc34e0ccba35470	RNA-Seq	C3N-00665	CPT0093360006	FPKM
884e68ab-8e5c-40c0-a9ca-1d3e858ecc01	cfdf6b41-4431-404e-adec-1b8db6b87f80.rna_seq.star_gene_counts.tsv.gz	425708	3931d9f607e9ef2ab0c4e2fd818466cc	RNA-Seq	C3L-00506	CPT0017560020	rna_seq.star_gene_counts
892e2fdf-0995-448a-b198-58f996ad41e5	d08b4c8d-cae7-4859-974b-b046e0816be0.FPKM-UQ.txt.gz	444242	1d22188608c34f977f850346f8e19767	RNA-Seq	C3L-00506	CPT0017560020	FPKM-UQ
8b7dc2a9-40d9-417c-a1b5-f4e6eb488904	eced3834-314b-459f-8cb3-baed219d55b0.rna_seq.star_gene_counts.tsv.gz	422347	d71c57eed97627c1910c196c73101e9a	RNA-Seq	C3N-01850	CPT0125260008	rna_seq.star_gene_counts
8db52648-6aa7-4fcd-a56c-ea71cdbebbc3	2953bc35-2586-483a-8f5f-889a252a9509.htseq_counts.txt.gz	260657	d0e6317681cb4dfbc4a3b3ef92b7b28c	RNA-Seq	C3N-02185	CPT0168590009	htseq_counts
8dfe6d46-2066-44d0-b15a-564f0e721d2c	88b47a2b-25e4-4445-8486-0043a432397c.FPKM.txt.gz	342300	683a263206efda8cd92e158d5bc37109	RNA-Seq	C3N-02188	CPT0168830009	FPKM
8f07586a-40a3-4594-a7d9-8b9dc0740f6e	75774427-0141-4f32-a16b-88e39ca26928.rna_seq.star_gene_counts.tsv.gz	432828	677ad63a97d2b7a924a58e88714292bb	RNA-Seq	C3L-02041	CPT0125510006	rna_seq.star_gene_counts
9742f1c4-c699-4f91-a64f-2a21c1e75aff	33ca027c-31d1-4716-8889-597415f25212.FPKM.txt.gz	342538	b7ea8ffc616617e0ab799110e19c4a89	RNA-Seq	C3N-01850	CPT0125260008	FPKM
98e7ebf6-5c29-4f38-954a-3bafe53b9342	179d1f4a-7c70-40fa-84bf-9476a1d1a40c.FPKM-UQ.txt.gz	442445	c5d0ca34f23f01bf977d9d7167298c4a	RNA-Seq	C3N-01816	CPT0168080009	FPKM-UQ
a470c16b-9862-446e-848a-060195b7db29	179d1f4a-7c70-40fa-84bf-9476a1d1a40c.htseq_counts.txt.gz	260178	3375d65815039f69b3e2bd41b6f9662a	RNA-Seq	C3N-01816	CPT0168080009	htseq_counts
aedb88fd-0f85-4b44-8a5b-37f22ceef6fd	33ca027c-31d1-4716-8889-597415f25212.FPKM-UQ.txt.gz	450021	092e23967c4672395db4b85211ce9a73	RNA-Seq	C3N-01850	CPT0125260008	FPKM-UQ
b3fecbc8-35f3-41a5-a112-9e077b475dfa	cb31907f-5c8e-44e6-995e-ac2e1ee72dd0.rna_seq.star_gene_counts.tsv.gz	425881	673b047dd38aff992283cf90331cb505	RNA-Seq	C3N-01368	CPT0093590006	rna_seq.star_gene_counts
b4587e02-d5ee-4c55-b023-9f288c52fdc2	71f3dcab-b871-4e7f-b68a-43d27e5840e1.rna_seq.star_gene_counts.tsv.gz	430524	5475a3d3fef797ba96b9aea21c64b285	RNA-Seq	C3L-02504	CPT0175060009	rna_seq.star_gene_counts
bc6de61a-6f31-4fe5-b25f-fd122fb783fd	10763311-cf6a-47d9-9777-39867a9ffd00.rna_seq.star_gene_counts.tsv.gz	424970	16b2a6970d29d5c2c019b6bcc4edb08f	RNA-Seq	C3N-01816	CPT0168080009	rna_seq.star_gene_counts
be1b91f3-9660-47f9-bfba-4bdbc88f0b8e	00e729a4-c8dc-4312-a4ea-ccdfe93685a1.FPKM.txt.gz	345348	f08011f6a6a058231ef81f6ad43aaf1d	RNA-Seq	C3N-00663	CPT0087730006	FPKM
bf10b72f-440e-4174-acfc-3548c5cd6c5a	04084199-cebe-46a5-95d3-6be7761ad757.FPKM.txt.gz	342303	8badc45210f85e78755718ac3e3f3f81	RNA-Seq	C3L-00591	CPT0017810010	FPKM
bf8ed56d-082e-452a-a6ec-408107420f4b	e3c8b7f8-a857-4492-b354-a4877a5317dd.FPKM-UQ.txt.gz	444438	7319f1cc4e37ba2844fa07a966dd80c9	RNA-Seq	C3N-00665	CPT0093360006	FPKM-UQ
c1cbf592-db06-4f9c-93a4-4bb08647dab4	f4c01712-c224-40af-860f-8f8d44fab187.htseq_counts.txt.gz	258570	262cf8a134eec8070541dad93d84becb	RNA-Seq	C3N-02183	CPT0168480009	htseq_counts
c4d268dc-bfba-4d40-912c-4fc6074a405f	a37a24ab-fd15-4306-a6a6-fff1f37b8f0c.FPKM-UQ.txt.gz	449557	7c73ebb4fcd9747a43ae174d1ecfd0af	RNA-Seq	C3N-01367	CPT0093550006	FPKM-UQ
c9de5028-6d00-44d8-8f44-d4de73c0e5ed	ed150570-994e-40b0-9bf0-ab6f0944c4b9.FPKM.txt.gz	346189	21dd1df8f0c703701e98aba659d5a06d	RNA-Seq	C3N-00662	CPT0087680006	FPKM
cc742367-6ec9-4805-8012-66c7814dffc8	1ae50000-ca3d-4923-a7ea-f5ed3afdd5dd.rna_seq.star_gene_counts.tsv.gz	427739	ce1230e5177881e800d93bfd2bb5c7bc	RNA-Seq	C3N-01367	CPT0093550006	rna_seq.star_gene_counts
cdaa0402-629b-44d9-8586-bd3ff7409552	00e729a4-c8dc-4312-a4ea-ccdfe93685a1.htseq_counts.txt.gz	259424	7458f48a6ce97a91fb2d1343a55d8d85	RNA-Seq	C3N-00663	CPT0087730006	htseq_counts
ceff5833-fdcb-4869-a249-924bab83ce83	bb84d993-e27e-4cd0-b3ef-c71f8adb872c.FPKM-UQ.txt.gz	453102	5e302981ed938038ea90ca587cae36cb	RNA-Seq	C3L-00278	CPT0000430008	FPKM-UQ
d307effb-a553-4e76-a024-dc31466c164c	4393f36b-b796-4a33-91f5-aceb56768aae.FPKM.txt.gz	343708	ae93c63c76ad1a92f16fe775296c7be0	RNA-Seq	C3L-02504	CPT0175060009	FPKM
d352476a-ef46-4031-81f8-34b21cc04fbc	adf333ec-90fa-4ae9-becc-9909cd5797cb.htseq_counts.txt.gz	259617	d2b5eb031867fed0566d92e353523489	RNA-Seq	C3N-01368	CPT0093590006	htseq_counts
d49db849-0b20-4670-a1c7-c256ac9c9175	2953bc35-2586-483a-8f5f-889a252a9509.FPKM-UQ.txt.gz	446044	5a62e3e5ffb576df441e2347949e72fb	RNA-Seq	C3N-02185	CPT0168590009	FPKM-UQ
d9856952-e3dc-40a8-9b9f-0b38a770eb28	bcba586f-1f62-4816-b76b-ac2ebb5f8094.rna_seq.star_gene_counts.tsv.gz	426212	1691d306e4b59db9669b8f3a996ca724	RNA-Seq	C3L-01043	CPT0127420009	rna_seq.star_gene_counts
dec0fbe3-d33d-4a7d-82c9-86356af763b5	66771f6c-b078-4501-8f51-6b4a2016e01b.FPKM-UQ.txt.gz	452358	c6e955c6959e2c44ec355f9d1ba89f04	RNA-Seq	C3N-01817	CPT0168170009	FPKM-UQ
df4ed26c-223e-4c2e-976d-34720c6076c5	e19106fc-53f6-4c32-a175-e13023ce33b7.FPKM.txt.gz	349797	74d07d4152e5b1e6f9e2f7f556c2e04d	RNA-Seq	C3L-02041	CPT0125510006	FPKM
e0865219-c8a3-476b-93ba-aff3acca3315	adf333ec-90fa-4ae9-becc-9909cd5797cb.FPKM.txt.gz	338371	20681c1daec56f894c26e90c674cdd56	RNA-Seq	C3N-01368	CPT0093590006	FPKM
e4b0fdcd-4170-4339-aef6-0e02dcf0c6de	00e729a4-c8dc-4312-a4ea-ccdfe93685a1.FPKM-UQ.txt.gz	453156	3d210119ee2c089ab7edbf1376559dae	RNA-Seq	C3N-00663	CPT0087730006	FPKM-UQ
ef11c131-9acf-4089-a900-66905f1b1652	c1549287-1d21-4120-9660-bbf562cca5cf.rna_seq.star_gene_counts.tsv.gz	418905	288b84752cc6d21e31484d70dfe2a63b	RNA-Seq	C3L-01045	CPT0123530006	rna_seq.star_gene_counts
f1ebea0b-47ed-4b34-baae-963592dc7d9c	4393f36b-b796-4a33-91f5-aceb56768aae.htseq_counts.txt.gz	261358	713d8df504c59ebb95ecccbd7611778c	RNA-Seq	C3L-02504	CPT0175060009	htseq_counts
f512b2d3-2b4c-44bc-98c3-df5dd6421a00	e3c8b7f8-a857-4492-b354-a4877a5317dd.htseq_counts.txt.gz	260574	11b022268de5bf47b04fa69d24728d61	RNA-Seq	C3N-00665	CPT0093360006	htseq_counts
f7e89f1d-4da9-4694-b591-d695391d4235	a8fa5b06-05f8-4688-9d06-224a4ffebaf0.FPKM.txt.gz	338441	fae2b8adab8b09e8fd7cefeadd4780a8	RNA-Seq	C3L-01045	CPT0123530006	FPKM
fa7837f1-be19-406f-a313-a84e7b7ad33d	959a2a16-9b32-473f-84ac-9dc9f81d5ec2.rna_seq.star_gene_counts.tsv.gz	427488	7359f8d747ead4cc0384eeaf46336aa8	RNA-Seq	C3N-00663	CPT0087730006	rna_seq.star_gene_counts
fb2c0d6d-0e16-4bd8-ab50-5d9ba7d01e77	88b47a2b-25e4-4445-8486-0043a432397c.FPKM-UQ.txt.gz	450299	fbf0a4f858c3edac439d0846d85ec40b	RNA-Seq	C3N-02188	CPT0168830009	FPKM-UQ
ff055de2-d76b-4046-a909-f88bcb50e33c	ed150570-994e-40b0-9bf0-ab6f0944c4b9.htseq_counts.txt.gz	261677	11f1695b4bb03ff4acae63a4bbf5c2ef	RNA-Seq	C3N-00662	CPT0087680006	htseq_counts
02a05c38-4da8-4fff-9463-2c3b4cadd046	dd0c731f-721d-443d-aae7-bd02cb9f4f6a.htseq_counts.txt.gz	259323	8d5ff38dccafb1b17c6d3fc656e9f225	RNA-Seq	C3N-01364	CPT0093450006	htseq_counts
05eec01b-9f07-4296-a7be-864d575245b8	04529a5b-c6ce-41bc-8892-62271f7d6839.FPKM.txt.gz	344900	f2a3c9c24df2efb83b1dcc44a453fe66	RNA-Seq	C3L-00631	CPT0017910010	FPKM
0a0bb614-7016-4f72-9851-e144f7728b40	e86802b2-71d4-41e7-9698-ea5e0bc1a673.rna_seq.star_gene_counts.tsv.gz	438717	21c4ac461db14f04758b2a7491767753	RNA-Seq	C3L-00104	CPT0092440006	rna_seq.star_gene_counts
0cf567a2-8e60-42ee-9dbb-3ddd264ec4d7	483a5ed2-258b-48b9-b9d9-b7ed58e84b88.FPKM.txt.gz	329124	ebe75f3b2896fa763c4c99c7935e1476	RNA-Seq	C3L-00424	CPT0011630010	FPKM
0fae8bba-3938-407b-9de8-bff16fed254e	4a92a5b3-7775-4054-9aaa-396b80550333.htseq_counts.txt.gz	262962	c42c76fd22a07abe5eaaf720adf7e36b	RNA-Seq	C3N-01798	CPT0167750010	htseq_counts
13324a51-15c8-4d62-ae57-c74132dea18e	1c751169-0574-4860-af7f-b033bc36abd6.rna_seq.star_gene_counts.tsv.gz	429715	b4675466980195799b25b289c93570df	RNA-Seq	C3L-00671	CPT0064450007	rna_seq.star_gene_counts
139183d9-b69f-44c1-935e-7ea58c1d0695	bb3f523d-9b48-444f-b0a6-a09c0ac7b746.FPKM-UQ.txt.gz	444336	3a3f2e0f6a1e3ae7f678d71280f892e0	RNA-Seq	C3L-01887	CPT0104330006	FPKM-UQ
16bb2445-877f-48de-991c-7c4dbcc514b1	bf476219-0d90-4430-8c0a-70d98e489dbe.rna_seq.star_gene_counts.tsv.gz	429426	befac20fa57733bd2d76a054d4f8a220	RNA-Seq	C3N-01370	CPT0162060008	rna_seq.star_gene_counts
191d4feb-c41e-46a3-aa4e-b624e105d95e	526b2ee3-ba82-40af-a3b4-0bd355d2337c.rna_seq.star_gene_counts.tsv.gz	424819	005bed93251cd33c2a47d020702895d5	RNA-Seq	C3L-00528	CPT0017670010	rna_seq.star_gene_counts
1bbe3540-2853-4ec0-991a-a80ba15bc43c	05f93055-c14f-4e1b-bd05-83d6f0ec07e0.htseq_counts.txt.gz	261262	b1d181f161bd49cbbd791e41fb060d2f	RNA-Seq	C3N-01334	CPT0125220009	htseq_counts
1d52e3e3-3ff4-4e33-bb90-e7625cca9113	bd928231-3a65-4603-996c-5ff91a72812f.FPKM-UQ.txt.gz	458649	b29b1b6ecdd515d17c3675d9819b1018	RNA-Seq	C3L-00104	CPT0092440006	FPKM-UQ
1f547d7f-9806-48a8-af02-08cf570113ad	ad329b33-b7cc-42fb-8daf-2096b91752fb.rna_seq.star_gene_counts.tsv.gz	422285	d883d93890c604d2ab5100383381d25f	RNA-Seq	C3L-01040	CPT0171580014	rna_seq.star_gene_counts
1f88ed07-3bc0-4763-8bf7-948c022b4792	80e24314-1333-49dc-96a2-dd8c44d31daf.htseq_counts.txt.gz	260599	8d0aa50b955eba08de5736181de8fe11	RNA-Seq	C3N-01515	CPT0079790006	htseq_counts
212baa51-5a8d-4532-89fa-01a273173435	c384ac16-e8e5-4fe9-868a-0c09c4d46f07.rna_seq.star_gene_counts.tsv.gz	418985	42507e3d46d19a6b93d3d682bbcf69bb	RNA-Seq	C3L-01327	CPT0064890006	rna_seq.star_gene_counts
24418769-8620-49ae-b5d5-6efe1db292de	ecdfe25c-9d03-449b-9c2d-22081e956c18.rna_seq.star_gene_counts.tsv.gz	423620	22c2b6d932eb75fa629f3760f1136268	RNA-Seq	C3L-01887	CPT0104330006	rna_seq.star_gene_counts
247f1863-fc68-4f05-a1ff-a7b7e587dfbd	6d99d5be-7bd0-4a43-b955-df0d9d3df33f.htseq_counts.txt.gz	257572	d49dcea949ec2e689ba1bfd35e4c87c6	RNA-Seq	C3L-01327	CPT0064890006	htseq_counts
271335d3-3410-4a71-adc0-c914fc92c276	64db4d73-f3fb-4997-93f8-71a98cd6b732.rna_seq.star_gene_counts.tsv.gz	422209	f42316a334002dc684a4e250612cc6ad	RNA-Seq	C3N-01818	CPT0168270009	rna_seq.star_gene_counts
27a0378b-7e5c-41a0-8212-b4a6fc707980	dc55a237-0798-4329-920e-5b00128e25b8.FPKM.txt.gz	337180	7eb6317742c4e106edfee2d14f28e40f	RNA-Seq	C3N-01517	CPT0167530009	FPKM
2fa43c1f-12f1-4080-81cd-05b9d8471288	8fa2fe86-f462-442e-a231-a4d890002efb.htseq_counts.txt.gz	258358	1c9f00e53b1b58a1f4e3d7f8926fd173	RNA-Seq	C3N-01818	CPT0168270009	htseq_counts
